"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","DeAndre Hopkins (FA)","15","96","1,378","14.4","1,019","10.6","1,019","10.6","359","3.7","61","0.6","0","174","33.7%","101","4","15","52","24","11","2","1","72"
"2","Antonio Brown (FA)","14","101","1,533","15.2","1,052","10.4","1,052","10.4","481","4.8","150","1.5","2","163","27.9%","103","2","9","63","27","13","7","3","57"
"3","Keenan Allen (LAC)","16","102","1,393","13.7","892","8.7","892","8.7","501","4.9","158","1.5","7","159","27.7%","111","8","11","66","18","5","4","2","51"
"4","Tyreek Hill (MIA)","15","75","1,183","15.8","732","9.8","732","9.8","451","6.0","81","1.1","7","105","19.9%","79","4","2","38","15","14","9","6","79"
"5","Marvin Jones Jr. (DET)","16","61","1,101","18.0","906","14.9","906","14.9","195","3.2","77","1.3","6","107","18.9%","65","3","6","40","20","12","6","2","58"
"6","Julio Jones (FA)","16","88","1,444","16.4","958","10.9","958","10.9","486","5.5","192","2.2","4","148","28.6%","95","7","6","64","23","8","4","2","53"
"7","Brandin Cooks (DAL)","16","65","1,082","16.6","855","13.2","855","13.2","227","3.5","54","0.8","2","114","19.5%","76","9","4","36","18","11","7","3","64"
"8","Michael Thomas (NO)","16","104","1,245","12.0","820","7.9","820","7.9","425","4.1","147","1.4","2","149","28.2%","108","3","7","50","22","5","1","0","43"
"9","Larry Fitzgerald (FA)","16","109","1,156","10.6","748","6.9","748","6.9","408","3.7","150","1.4","3","161","27.2%","114","5","8","56","16","2","0","0","37"
"10","A.J. Green (FA)","16","75","1,078","14.4","781","10.4","781","10.4","297","4.0","127","1.7","3","143","29.3%","82","7","9","50","9","4","4","3","77"
"11","Adam Thielen (CAR)","16","91","1,276","14.0","823","9.0","823","9.0","453","5.0","62","0.7","0","142","27.3%","100","6","7","51","20","8","5","2","65"
"12","Davante Adams (LV)","14","74","885","12.0","547","7.4","547","7.4","338","4.6","114","1.5","8","117","21.1%","81","7","10","34","8","5","3","1","55"
"13","Doug Baldwin (FA)","16","75","991","13.2","717","9.6","717","9.6","274","3.7","28","0.4","2","116","22.1%","77","2","4","38","18","7","3","1","54"
"14","Jarvis Landry (FA)","16","112","987","8.8","489","4.4","489","4.4","498","4.4","175","1.6","6","161","27.4%","120","6","11","41","6","1","1","0","49"
"15","Alshon Jeffery (FA)","16","57","789","13.8","586","10.3","586","10.3","203","3.6","44","0.8","0","120","21.6%","62","3","9","42","8","3","1","1","53"
"16","Chosen Anderson (MIA)","16","63","941","14.9","668","10.6","668","10.6","273","4.3","50","0.8","1","114","23.0%","70","7","3","34","17","7","3","2","69"
"17","Stefon Diggs (BUF)","14","64","849","13.3","551","8.6","551","8.6","298","4.7","102","1.6","2","95","18.2%","66","2","6","31","14","7","3","2","59"
"18","JuJu Smith-Schuster (NE)","14","58","917","15.8","487","8.4","487","8.4","430","7.4","121","2.1","5","79","13.5%","62","4","6","35","12","8","6","2","97"
"19","Golden Tate (FA)","16","92","1,003","10.9","390","4.2","390","4.2","613","6.7","224","2.4","14","120","21.2%","95","2","3","41","10","5","3","1","71"
"20","Mike Evans (TB)","15","71","1,001","14.1","867","12.2","867","12.2","134","1.9","37","0.5","1","136","22.8%","80","7","8","53","9","5","2","0","42"
"21","Devin Funchess (FA)","16","63","840","13.3","544","8.6","544","8.6","296","4.7","61","1.0","2","111","22.6%","67","4","5","36","15","4","1","0","44"
"22","Nelson Agholor (BAL)","16","62","768","12.4","467","7.5","467","7.5","301","4.9","89","1.4","4","95","17.1%","66","4","10","30","9","6","3","3","72"
"23","Demaryius Thomas (FA)","16","83","949","11.4","650","7.8","650","7.8","299","3.6","94","1.1","3","140","25.4%","91","7","8","43","15","1","1","0","40"
"24","T.Y. Hilton (FA)","16","57","966","16.9","662","11.6","662","11.6","304","5.3","35","0.6","1","109","23.1%","62","4","3","35","14","9","6","3","80"
"25","Dez Bryant (FA)","16","69","838","12.1","572","8.3","572","8.3","266","3.9","166","2.4","5","132","27.2%","81","11","15","38","8","5","2","1","50"
"26","Kenny Stills (FA)","16","58","847","14.6","688","11.9","688","11.9","159","2.7","35","0.6","0","105","17.9%","61","2","1","35","14","3","2","1","61"
"27","Cooper Kupp (LAR)","15","62","869","14.0","505","8.1","505","8.1","364","5.9","125","2.0","7","94","0%","68","5","12","36","12","4","2","2","64"
"28","Michael Crabtree (FA)","14","58","618","10.7","428","7.4","428","7.4","190","3.3","58","1.0","6","101","18.3%","64","6","5","23","8","2","2","0","41"
"29","Marquise Goodwin (CLE)","16","56","962","17.2","764","13.6","764","13.6","198","3.5","25","0.4","3","105","17.5%","63","7","7","41","13","7","5","4","83"
"30","Jermaine Kearse (FA)","16","65","810","12.5","515","7.9","515","7.9","295","4.5","140","2.2","4","102","20.6%","69","4","3","34","9","5","4","1","51"
"31","Amari Cooper (CLE)","14","48","680","14.2","387","8.1","387","8.1","293","6.1","60","1.3","2","96","17.4%","54","6","5","22","9","5","3","2","87"
