Player,Routes,YDS/RT,Open_Score,Catch_Score,Yac_Score,Overall_Score
A.J. Brown,592,2.8,92,61,62,88
Justin Jefferson,667,2.8,81,81,50,85
Tyler Lockett,542,2,95,79,29,84
Stefon Diggs,619,2.5,83,81,43,83
Diontae Johnson,581,1.5,99,56,43,81
George Kittle,446,2.1,70,79,53,79
Chris Olave,403,2.6,82,69,45,77
Brandon Aiyuk,546,2.1,81,62,54,77
Tee Higgins,616,1.9,67,83,50,77
Tyreek Hill,547,3.3,85,63,42,75
Travis Kelce,616,2.6,78,65,50,75
CeeDee Lamb,598,2.6,85,55,49,74
DeVonta Smith,618,2.3,63,76,56,74
George Pickens,551,1.5,48,99,41,71
Terry McLaurin,541,2.2,51,77,64,70
Ja'Marr Chase,600,2.1,68,53,65,70
Tyler Boyd,606,1.4,62,79,47,70
Mike Williams,417,2.1,49,87,53,69
Garrett Wilson,553,2,77,54,50,69
Keenan Allen,351,2.3,64,76,41,68
Christian Watson,235,2.6,73,46,59,67
Amari Cooper,522,2.2,54,77,53,67
Isaiah Hodgins,319,1.6,63,85,32,67
Davante Adams,575,2.6,81,45,47,66
Jerry Jeudy,399,2.4,80,45,49,66
DeAndre Hopkins,328,2.2,63,75,37,65
Richie James,369,1.8,65,78,30,65
Mark Andrews,427,2.2,86,43,38,64
Drake London,381,2.3,69,60,40,63
Jordan Akins,272,1.8,56,58,61,63
Donovan Peoples-Jones,529,1.6,41,99,37,63
Amon-Ra St. Brown,426,2.7,67,57,46,62
Dallas Goedert,396,2.1,53,68,53,62
Jakobi Meyers,380,2.1,66,74,30,62
DK Metcalf,583,2,66,63,39,62
Cooper Kupp,284,2.9,55,63,53,61
Jaylen Waddle,544,2.6,61,55,54,61
Michael Pittman,592,1.6,64,61,42,61
David Njoku,365,1.7,51,62,58,60
Jauan Jennings,310,1.6,64,48,54,60
Josh Palmer,583,1.4,64,58,43,60
Mack Hollins,563,1.2,54,68,47,60
Chase Claypool,387,1.2,64,50,49,59
Austin Hooper,311,1.4,56,66,41,57
K.J. Osborn,551,1.2,55,56,52,57
JuJu Smith-Schuster,534,1.9,49,60,52,56
Gerald Everett,421,1.6,59,45,56,56
Mike Evans,619,1.9,56,62,38,55
Treylon Burks,230,1.9,65,40,51,55
Nico Collins,258,1.9,51,63,45,55
Marquise Brown,441,1.6,65,53,36,55
Elijah Moore,470,0.9,56,57,45,55
Darnell Mooney,276,1.8,67,54,30,54
Olamide Zaccheaus,329,1.6,55,58,42,54
Darius Slayton,455,1.8,67,30,56,53
Jahan Dotson,351,1.5,46,59,50,53
Allen Robinson,308,1.1,65,59,25,53
Juwan Johnson,326,1.6,51,49,53,52
Adam Thielen,640,1.2,54,69,29,52
Greg Dortch,305,1.5,47,58,47,51
Robert Woods,425,1.2,71,34,41,51
T.J. Hockenson,563,1.9,50,55,46,50
Courtland Sutton,485,1.7,78,25,37,50
Noah Brown,437,1.4,42,59,50,50
Chris Moore,392,1.4,41,54,57,49
Hunter Henry,371,1.4,68,43,30,49
Foster Moreau,312,1.3,59,36,52,49
Ben Skowronek,366,1,60,53,31,49
Zay Jones,588,1.7,62,48,32,48
Demarcus Robinson,347,1.5,61,39,41,48
Josh Reynolds,343,1.4,50,58,36,48
DeAndre Carter,455,1.2,38,66,45,48
Kalif Raymond,293,2.1,59,56,24,47
Noah Fant,350,1.4,46,66,31,47
Dawson Knox,495,1.2,57,48,34,47
Russell Gage,366,1.2,60,46,32,47
Curtis Samuel,465,1.4,41,56,47,46
Marvin Jones,500,1.2,44,65,33,46
Deebo Samuel,390,2.2,42,20,82,45
Chris Godwin,574,1.9,42,48,51,45
Allen Lazard,423,1.9,64,36,34,45
Dalton Schultz,439,1.6,64,38,32,45
D.J. Moore,426,2.1,43,59,37,44
Pat Freiermuth,416,1.8,40,44,57,44
D.J. Chark,306,1.6,41,54,44,44
Christian Kirk,619,2,63,35,34,43
Zach Ertz,331,1.2,46,54,37,43
Isaiah McKenzie,373,1.2,62,36,33,43
Trent Sherfield,409,1,50,40,46,43
Brandin Cooks,387,1.8,49,50,33,42
Kyle Pitts,192,1.9,60,25,43,41
Evan Engram,531,1.7,42,46,46,41
Isaiah Likely,256,1.5,54,33,44,41
Robert Tonyan,309,1.5,50,57,22,40
Alec Pierce,438,1.4,38,51,44,40
Tyler Conklin,427,1.3,40,45,48,40
Cade Otton,451,1,53,28,47,40
Logan Thomas,341,0.9,39,53,38,39
Greg Dulcich,285,1.4,49,37,37,38
Gabe Davis,626,1.6,45,37,42,37
Cole Kmet,353,1.5,48,43,32,37
Hayden Hurst,447,1.2,34,58,35,37
Parris Campbell,560,1.1,36,42,50,37
Romeo Doubs,262,1.6,57,22,38,35
Corey Davis,364,1.5,26,57,42,35
Julio Jones,251,1.5,27,51,47,34
Michael Gallup,459,1,35,48,34,32
Nick Westbrook-Ikhine,382,1,33,40,39,30
Mike Gesicki,361,1,40,41,26,28
Marquez Valdes-Scantling,577,1.4,26,46,29,23
Tyler Higbee,370,1.7,38,11,46,21
